mouse_id,indicator,genotype_delivery,sex,active_cells,direction_selective_cells,direction_selective_fraction,tilt_hotspot_mean,tilt_q99_5,tilt_hotspot_coverage,tilt_cells_kept,decoding_p8,decoding_rot,decoding_tilt,decoding_yaw,decoding_zvert,decoding_regions_p8,decoding_regions_rot,decoding_regions_tilt,decoding_regions_yaw,decoding_regions_zvert
P000001,GCaMP8s,C57BL/6J + AAV,male,9477,471,0.0496992719214941,0.04424490253814563,0.1282696275662248,0.46720940750791495,2369,0.06228707637288785,0.2607977642276423,0.08862169331477382,0.14555582144591564,0.1349122812177947,8,8,8,8,8
P000002,GCaMP8s,C57BL/6J + AAV,female,7900,340,0.0430379746835443,0.09326835968820603,0.24191664194269968,0.8905472636815921,1975,0.038136340725806434,0.24780939476061425,0.068901666742355,0.0891676864553759,0.08344193898325661,8,8,8,8,8
P000003,GCaMP8s,C57BL/6J + AAV,male,8384,396,0.0472328244274809,0.0772044324539505,0.17943278152408895,0.8747173224785165,2096,0.050393145161290336,0.23217028003613366,0.09207619399091492,0.13112132321138115,0.12431577310691369,8,8,8,8,8
P000004,GCaMP8s,C57BL/6J + AAV,male,8730,433,0.0495990836197022,0.09039795818145337,0.13693018324025175,0.9470827679782904,2182,0.05235131048387097,0.2370963188798555,0.10402200933052061,0.1491952716040508,0.12359973221982778,8,8,8,8,8
P000005,GCaMP8s,C57BL/6J + AAV,male,17162,770,0.044866565668337,0.07790672227972258,0.10517588650078859,0.9615558570782451,4290,0.04284336164727658,0.1851849499397772,0.052957266088452734,0.073640673962386,0.09476981606016012,8,8,8,8,8
P000006,GCaMP8s,C57BL/6J + AAV,male,14179,253,0.0178432893716059,-0.052486808721049744,0.12321230176076257,0.03889642695612845,3545,0.00937815020161293,0.10695385426076483,0.052327937935064184,0.055766576338110975,0.04320635230166848,8,8,8,8,8
P000007,GCaMP8s,C57BL/6J + AAV,male,13516,280,0.0207161882213673,0.11637025472553263,0.16550950021272556,0.6472184531886025,3379,0.02350444178427418,0.19020249924721472,0.05771566248065846,0.06474414966546999,0.05087775729004387,8,8,8,8,8
P000008,GCaMP8s,C57BL/6J + AAV,female,14053,237,0.016864726392941,0.02665615906169411,0.21070599229517806,0.7810945273631841,3513,0.012061728200604846,0.12259296898524542,0.048786107671781216,0.06217997323818101,0.04749825280028704,8,8,8,8,8
P000009,GCaMP6s,Ai162 x Slc17a7-IRES2-Cre,male,16166,1021,0.0631572435976741,0.17082944840050018,0.19482759548346695,1.0,4041,0.05440776209677419,0.14945517163504973,0.08081597903547054,0.21642467430065337,0.11074398694887005,8,8,8,8,8
P000010,GCaMP6s,Ai162 x Slc17a7-IRES2-Cre,female,18169,662,0.0364356871594474,0.12953595022581108,0.20472147772501798,0.9014020805065581,4542,0.026119581653225803,0.10420901084010842,0.07347007962618156,0.20231947146612772,0.12249669947204817,8,8,8,8,8
